         200
 0.453871E+02  0.474766E+05  0.189325E+04  0.699765E+02  0.660931E+01  0.147539E+03  0.157919E+03  0.115832E+03  0.718266E-02
 0.450702E+02  0.456431E+05  0.182015E+04  0.678691E+02  0.656964E+01  0.145866E+03  0.156375E+03  0.114721E+03  0.766759E-02
 0.447464E+02  0.438279E+05  0.174777E+04  0.657603E+02  0.652655E+01  0.144161E+03  0.154806E+03  0.113615E+03  0.817877E-02
 0.444156E+02  0.420328E+05  0.167620E+04  0.636520E+02  0.648000E+01  0.142423E+03  0.153212E+03  0.112516E+03  0.871814E-02
 0.440778E+02  0.402600E+05  0.160551E+04  0.615463E+02  0.642999E+01  0.140651E+03  0.151592E+03  0.111424E+03  0.928787E-02
 0.437329E+02  0.385114E+05  0.153579E+04  0.594452E+02  0.637649E+01  0.138847E+03  0.149946E+03  0.110339E+03  0.989034E-02
 0.433808E+02  0.367889E+05  0.146711E+04  0.573507E+02  0.631954E+01  0.137011E+03  0.148275E+03  0.109264E+03  0.105283E-01
 0.430216E+02  0.350945E+05  0.139956E+04  0.552648E+02  0.625918E+01  0.135142E+03  0.146579E+03  0.108200E+03  0.112048E-01
 0.426551E+02  0.334302E+05  0.133319E+04  0.531894E+02  0.619554E+01  0.133240E+03  0.144857E+03  0.107155E+03  0.119244E-01
 0.422813E+02  0.317977E+05  0.126810E+04  0.511250E+02  0.612887E+01  0.131307E+03  0.143105E+03  0.106138E+03  0.126977E-01
 0.418957E+02  0.301989E+05  0.120435E+04  0.490722E+02  0.605785E+01  0.129318E+03  0.141318E+03  0.105120E+03  0.135378E-01
 0.415027E+02  0.286354E+05  0.114200E+04  0.470364E+02  0.598137E+01  0.127299E+03  0.139503E+03  0.104075E+03  0.144349E-01
 0.411023E+02  0.271089E+05  0.108114E+04  0.450211E+02  0.589987E+01  0.125249E+03  0.137663E+03  0.103018E+03  0.153905E-01
 0.406945E+02  0.256211E+05  0.102181E+04  0.430291E+02  0.581359E+01  0.123168E+03  0.135801E+03  0.101955E+03  0.164090E-01
 0.402793E+02  0.241733E+05  0.964075E+03  0.410632E+02  0.572269E+01  0.121059E+03  0.133916E+03  0.100891E+03  0.174957E-01
 0.398568E+02  0.227669E+05  0.907995E+03  0.391258E+02  0.562727E+01  0.118922E+03  0.132011E+03  0.998291E+02  0.186567E-01
 0.394270E+02  0.214033E+05  0.853618E+03  0.372193E+02  0.552747E+01  0.116757E+03  0.130087E+03  0.987712E+02  0.198990E-01
 0.389900E+02  0.200836E+05  0.800989E+03  0.353459E+02  0.542339E+01  0.114567E+03  0.128143E+03  0.977202E+02  0.212300E-01
 0.385458E+02  0.188087E+05  0.750151E+03  0.335078E+02  0.531520E+01  0.112352E+03  0.126181E+03  0.966800E+02  0.226587E-01
 0.380946E+02  0.175796E+05  0.701137E+03  0.317067E+02  0.520313E+01  0.110113E+03  0.124199E+03  0.956567E+02  0.241967E-01
 0.376361E+02  0.163971E+05  0.653978E+03  0.299430E+02  0.508750E+01  0.107852E+03  0.122193E+03  0.946614E+02  0.258697E-01
 0.371629E+02  0.152617E+05  0.608700E+03  0.282174E+02  0.496698E+01  0.105533E+03  0.120154E+03  0.936611E+02  0.277042E-01
 0.366828E+02  0.141739E+05  0.565319E+03  0.265351E+02  0.484054E+01  0.103195E+03  0.118095E+03  0.926283E+02  0.296843E-01
 0.361959E+02  0.131340E+05  0.523850E+03  0.248993E+02  0.470890E+01  0.100840E+03  0.116021E+03  0.915801E+02  0.318157E-01
 0.357023E+02  0.121423E+05  0.484297E+03  0.233124E+02  0.457256E+01  0.984697E+02  0.113936E+03  0.905252E+02  0.341101E-01
 0.352022E+02  0.111986E+05  0.446662E+03  0.217763E+02  0.443197E+01  0.960873E+02  0.111841E+03  0.894695E+02  0.365819E-01
 0.346959E+02  0.103028E+05  0.410938E+03  0.202926E+02  0.428754E+01  0.936947E+02  0.109737E+03  0.884178E+02  0.392483E-01
 0.341835E+02  0.945469E+04  0.377112E+03  0.188624E+02  0.413974E+01  0.912944E+02  0.107625E+03  0.873760E+02  0.421303E-01
 0.336653E+02  0.865370E+04  0.345166E+03  0.174858E+02  0.398911E+01  0.888890E+02  0.105500E+03  0.863532E+02  0.452684E-01
 0.331331E+02  0.789925E+04  0.315076E+03  0.161626E+02  0.383515E+01  0.864428E+02  0.103353E+03  0.853301E+02  0.487092E-01
 0.325921E+02  0.719057E+04  0.286812E+03  0.148957E+02  0.367722E+01  0.839814E+02  0.101192E+03  0.842793E+02  0.524492E-01
 0.320458E+02  0.652676E+04  0.260337E+03  0.136872E+02  0.351590E+01  0.815230E+02  0.990271E+02  0.832055E+02  0.564889E-01
 0.314945E+02  0.590679E+04  0.235609E+03  0.125383E+02  0.335211E+01  0.790709E+02  0.968636E+02  0.821198E+02  0.608466E-01
 0.309387E+02  0.532948E+04  0.212583E+03  0.114494E+02  0.318666E+01  0.766280E+02  0.947038E+02  0.810296E+02  0.655481E-01
 0.303786E+02  0.479356E+04  0.191208E+03  0.104202E+02  0.302036E+01  0.741977E+02  0.925478E+02  0.799415E+02  0.706283E-01
 0.298141E+02  0.429764E+04  0.171428E+03  0.944960E+01  0.285397E+01  0.717807E+02  0.903892E+02  0.788625E+02  0.761587E-01
 0.292318E+02  0.384023E+04  0.153184E+03  0.853674E+01  0.268731E+01  0.693221E+02  0.882200E+02  0.777693E+02  0.821959E-01
 0.286462E+02  0.341977E+04  0.136413E+03  0.768283E+01  0.252046E+01  0.668860E+02  0.860570E+02  0.766434E+02  0.887089E-01
 0.280577E+02  0.303461E+04  0.121050E+03  0.688763E+01  0.235462E+01  0.644756E+02  0.839080E+02  0.754985E+02  0.957088E-01
 0.274668E+02  0.268305E+04  0.107027E+03  0.615010E+01  0.219083E+01  0.620942E+02  0.817767E+02  0.743432E+02  0.103224E+00
 0.268741E+02  0.236334E+04  0.942743E+02  0.546846E+01  0.203004E+01  0.597450E+02  0.796619E+02  0.731846E+02  0.111314E+00
 0.262722E+02  0.207369E+04  0.827209E+02  0.484064E+01  0.187282E+01  0.574003E+02  0.775585E+02  0.720192E+02  0.120052E+00
 0.256603E+02  0.181232E+04  0.722951E+02  0.426525E+01  0.171949E+01  0.550600E+02  0.754711E+02  0.708336E+02  0.129447E+00
 0.250479E+02  0.157741E+04  0.629246E+02  0.374112E+01  0.157075E+01  0.527616E+02  0.734129E+02  0.696270E+02  0.139446E+00
 0.244446E+02  0.137007E+04  0.546541E+02  0.327289E+01  0.142967E+01  0.505407E+02  0.714196E+02  0.684275E+02  0.149898E+00
 0.238593E+02  0.118999E+04  0.474707E+02  0.286129E+01  0.129858E+01  0.484275E+02  0.695156E+02  0.672590E+02  0.160687E+00
 0.232814E+02  0.103358E+04  0.412314E+02  0.249951E+01  0.117703E+01  0.463810E+02  0.676927E+02  0.661176E+02  0.171823E+00
 0.227147E+02  0.897724E+03  0.358121E+02  0.218197E+01  0.106450E+01  0.444125E+02  0.659512E+02  0.649962E+02  0.183242E+00
 0.221646E+02  0.779728E+03  0.311052E+02  0.190371E+01  0.960712E+00  0.425390E+02  0.642928E+02  0.638966E+02  0.194876E+00
